"Date","High price","Low price","Closing price"
"2021-01-14","2016.30","2002.98","2016.30"
"2021-01-15","2016.93","1984.53","1996.66"
"2021-01-18","2007.15","1989.72","2003.42"
"2021-01-19","2018.60","2006.63","2009.64"
"2021-01-20","2031.45","2012.74","2026.53"
"2021-01-21","2044.20","2032.13","2037.61"
"2021-01-22","2034.83","2017.84","2030.73"
"2021-01-25","2048.34","2024.74","2034.90"
"2021-01-26","2053.84","2027.28","2036.71"
"2021-01-27","2035.04","1982.62","2007.47"
"2021-01-28","2014.76","1956.44","2000.38"
"2021-01-29","2000.51","1971.84","1972.36"
"2021-02-01","2001.34","1977.79","1995.41"
"2021-02-02","2021.89","2001.16","2014.75"
"2021-02-03","2042.62","2026.70","2034.19"
"2021-02-04","2047.51","2021.14","2026.48"
"2021-02-05","2033.31","2012.09","2018.99"
"2021-02-08","2030.25","2020.80","2022.57"
"2021-02-09","2022.67","2011.42","2015.99"
"2021-02-10","2018.76","1992.44","2003.68"
"2021-02-11","2034.06","2010.19","2034.06"
"2021-02-12","2058.41","2033.66","2057.44"
"2021-02-15","2076.83","2065.49","2074.94"
"2021-02-16","2079.32","2070.52","2074.14"
"2021-02-17","2072.29","2056.03","2061.53"
"2021-02-18","2071.18","2039.27","2044.51"
"2021-02-19","2055.95","2037.36","2053.14"
"2021-02-22","2045.43","2025.96","2031.25"
"2021-02-23","2034.63","1983.30","2005.36"
"2021-02-24","2021.35","1997.02","2015.13"
"2021-02-25","2041.42","2021.43","2025.89"
"2021-02-26","2017.45","1984.25","1985.68"
"2021-03-01","2026.31","2007.35","2026.27"
"2021-03-02","2042.24","2021.03","2031.11"
"2021-03-03","2038.98","2001.11","2012.04"
"2021-03-04","2008.94","1986.24","1993.27"
"2021-03-05","1992.05","1970.70","1970.74"
"2021-03-08","2016.23","1978.65","2013.94"
"2021-03-09","2052.15","2011.00","2050.43"
"2021-03-10","2066.30","2039.80","2064.09"
"2021-03-11","2088.74","2068.23","2088.28"
"2021-03-12","2080.99","2066.75","2079.31"
"2021-03-15","2098.25","2078.58","2080.90"
"2021-03-16","2103.14","2088.47","2101.83"
"2021-03-17","2100.75","2074.64","2078.68"
"2021-03-18","2091.98","2069.60","2077.49"
